"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"
"Biotech_094"	"V5-10-1_J2*01"	8	0.000258824290659678
"Biotech_096"	"V1-18_J1*01"	8	0.00027033420065556
"Biotech_096"	"V1-3_J2*01"	8	0.00027033420065556
"Biotech_096"	"V2-26_J3*02"	8	0.00027033420065556
"Biotech_096"	"V2-5_J2*01"	8	0.00027033420065556
"Biotech_096"	"V3-11_J2*01"	8	0.00027033420065556
"Biotech_096"	"V3-11_J4*02,J5*02"	8	0.00027033420065556
"Biotech_096"	"V3-20_J6*02"	8	0.00027033420065556
"Biotech_096"	"V3-30-3_J1*01"	8	0.00027033420065556
"Biotech_096"	"V3-49_J1*01"	8	0.00027033420065556
"Biotech_096"	"V3-49_J2*01"	8	0.00027033420065556
"Biotech_096"	"V3-66_J1*01"	8	0.00027033420065556
"Biotech_096"	"V4-30-4_J2*01"	8	0.00027033420065556
"Biotech_096"	"V4-31_J2*01"	8	0.00027033420065556
"Biotech_097"	"V1-46_J2*01"	8	0.000191786733152734
"Biotech_097"	"V2-26_J2*01"	8	0.000191786733152734
"Biotech_099"	"V1-18_J3*02"	8	0.00347977381470204
"Biotech_099"	"V3-20_J4*02"	8	0.00347977381470204
"Biotech_099"	"V3-30-3_J6*03"	8	0.00347977381470204
"Biotech_099"	"V4-31_J3*02"	8	0.00347977381470204
"Biotech_099"	"V4-31_J6*02"	8	0.00347977381470204
"Biotech_099"	"V4-39_J2*01"	8	0.00347977381470204
"Biotech_099"	"V4-39_J6*03"	8	0.00347977381470204
"Biotech_099"	"V5-51_J5*02"	8	0.00347977381470204
"Biotech_099"	"V6-1_J4*02"	8	0.00347977381470204
"Biotech_100"	"V2-5_J1*01"	8	0.000268033638221597
"Biotech_100"	"V2-5_J4*02,J5*02"	8	0.000268033638221597
"Biotech_100"	"V3-43_J5*02"	8	0.000268033638221597
"Biotech_100"	"V3-49_J2*01"	8	0.000268033638221597
"Biotech_100"	"V4-31_J1*01"	8	0.000268033638221597
"Biotech_100"	"V4-4_J4*02,J5*02"	8	0.000268033638221597
"Biotech_100"	"V5-51_J1*01"	8	0.000268033638221597
"Biotech_100"	"V7-4-1_J2*01"	8	0.000268033638221597
