"SAMPLE"	"GENE"	"SEQ_COUNT"	"SEQ_FREQ"	"SUBJECTn"
"HC_32_BB"	"J3*02"	2001	0.130222569308864	NA
"Biotech_132"	"J6*02"	1984	0.265276106431341	NA
"CD1205"	"J2*01"	1979	0.0325504128425277	NA
"Biotech_105"	"J5*02"	1945	0.118359398770766	NA
"HC_36_BB"	"J6*03"	1942	0.0749315121348922	NA
"BC_13"	"J2*01"	1919	0.0279029865937709	NA
"HC_30_BB"	"J3*02"	1894	0.159939199459551	NA
"HC_33_BB"	"J3*02"	1891	0.121373555840822	NA
"CD1169"	"J2*01"	1876	0.030664116772095	NA
"Biotech_121"	"J6*03"	1852	0.0899684236094243	NA
"Biotech_115"	"J3*02"	1806	0.124251805985552	NA
"Biotech_091"	"J5*02"	1767	0.130898585080376	NA
"Biotech_080"	"J3*02"	1759	0.138591238575481	NA
"Biotech_103"	"J6*02"	1750	0.194834112669784	NA
"CD1208"	"J2*01"	1746	0.0371489361702128	NA
"Biotech_072"	"J6*02"	1743	0.244597249508841	NA
"HC_33_BB"	"J5*02"	1729	0.110975609756098	NA
"CD1096"	"J3*02"	1725	0.193104220306728	NA
"CD1113"	"J2*01"	1719	0.0282683769116922	NA
"HC_38_BB"	"J5*02"	1718	0.13048761962631	NA
"BC_16"	"J2*01"	1708	0.0330744950717453	NA
"Biotech_131"	"J5*02"	1699	0.122002010627603	NA
"Biotech_105"	"J3*02"	1691	0.102902695795047	NA
"HC_38_BB"	"J6*03"	1672	0.126993771836549	NA
"HC_23_BB"	"J2*01"	1660	0.0315289648622982	NA
"CD1149"	"J6*03"	1650	0.0999818214870024	NA
"Biotech_085"	"J4*02"	1617	0.554907343857241	NA
"HC_32_BB"	"J5*02"	1613	0.104972016139529	NA
"Biotech_115"	"J5*02"	1602	0.110216718266254	NA
"Biotech_120"	"J6*02"	1592	0.210972700768619	NA
"Biotech_091"	"J3*02"	1546	0.114527002000148	NA
"CD1202"	"J2*01"	1524	0.0319718043929763	NA
"BC_14"	"J2*01"	1519	0.0270154907784516	NA
"HC_10_BB"	"J2*01"	1495	0.0274311926605505	NA
"HC_30_BB"	"J5*02"	1493	0.126076676237122	NA
"Biotech_107"	"J2*01"	1470	0.035882539605048	NA
"HC_20_BB"	"J2*01"	1465	0.0311013926630435	NA
"CD0497"	"J2*01"	1459	0.0349930445627668	NA
"HC_38_BB"	"J3*02"	1451	0.110208111803129	NA
"Biotech_106"	"J6*02"	1431	0.142757382282522	NA
"CD1211"	"J2*01"	1420	0.0358323449998738	NA
"CD1212"	"J2*01"	1398	0.0360681114551084	NA
"CD1086"	"J2*01"	1397	0.0330690022487868	NA
"CD0838"	"J5*02"	1375	0.116981453122341	NA
"CD1187"	"J6*04"	1370	0.154592642744302	NA
"Biotech_106"	"J3*02"	1358	0.135474860335196	NA
"Biotech_067"	"J2*01"	1347	0.0371863180851945	NA
"CD1110"	"J2*01"	1337	0.0240896560422335	NA
"BC_18"	"J2*01"	1304	0.0256692913385827	NA
"CD1368"	"J2*01"	1302	0.030620884289746	NA
"BC_11"	"J2*01"	1275	0.0245461371118341	NA
"CD0838"	"J6*03"	1257	0.106942317508933	NA
"Biotech_075"	"J3*02"	1253	0.167805008704969	NA
"CD1129"	"J2*01"	1248	0.0310989284824321	NA
"Biotech_101"	"J6*02"	1245	0.18395390070922	NA
"Biotech_080"	"J5*02"	1237	0.0974629687992436	NA
"CD1125"	"J2*01"	1231	0.0311985199077477	NA
"HC_21_BB"	"J2*01"	1220	0.0203329944500925	NA
"Biotech_079"	"J6*03"	1215	0.18188622754491	NA
"CD1115"	"J2*01"	1192	0.0350196838827193	NA
"Biotech_099"	"J4*02"	1178	0.512396694214876	NA
"HC_30_BB"	"J6*03"	1169	0.0987164330349603	NA
"Biotech_106"	"J5*02"	1155	0.115223463687151	NA
"CD1362_HC"	"J2*01"	1143	0.02588256606508	NA
"CD1076"	"J2*01"	1140	0.0296519793996775	NA
"CD1071"	"J2*01"	1134	0.0273404537454493	NA
"CD1187"	"J3*02"	1130	0.127510719927782	NA
"Biotech_093"	"J6*02"	1105	0.238043946574752	NA
"Biotech_097"	"J2*01"	1102	0.0264186224917891	NA
"HC_37_BB"	"J4*02"	1081	0.420622568093385	NA
"Biotech_079"	"J3*02"	1073	0.16062874251497	NA
"HC_30_BB"	"J6*02"	1064	0.0898496875527783	NA
"Biotech_081"	"J2*01"	1062	0.033715356043049	NA
"CD0844"	"J2*01"	1059	0.0203959785832595	NA
"Biotech_065"	"J2*01"	1052	0.0233970153237106	NA
"Biotech_045"	"J2*01"	1051	0.0309664113140837	NA
"HC_14_BB"	"J2*01"	1051	0.0280985990803123	NA
"HC_35_BB"	"J2*01"	1033	0.0261545472959287	NA
"Biotech_086"	"J2*01"	1022	0.023879620543016	NA
"Biotech_103"	"J3*02"	1019	0.113449120463149	NA
"Biotech_129"	"J2*01"	1007	0.0324754901960784	NA
"Biotech_050"	"J2*01"	1002	0.0256995562851061	NA
"Biotech_089"	"J2*01"	991	0.0307993535554451	NA
"CD1205"	"J1*01"	985	0.0162011908286457	NA
"CD1187"	"J5*02"	975	0.110020311442112	NA
"Biotech_103"	"J5*02"	954	0.106212424849699	NA
"CD1169"	"J1*01"	947	0.015479167688259	NA
"Biotech_120"	"J3*02"	946	0.12536443148688	NA
